City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,lazaro cardenas,17.9583,-102.2,26.89,53,100,1.37,MX,1680275088
122,north bend,43.4065,-124.2243,7.26,94,100,3.09,US,1680274815
123,pingliang,35.5392,106.6861,11.67,61,0,2.62,CN,1680275088
124,westport,41.1415,-73.3579,10.05,55,75,2.57,US,1680275088
125,la tuque,47.4334,-72.7824,-3.86,54,85,1.54,CA,1680274816
126,guerrero negro,27.9769,-114.0611,13.86,61,15,5.28,MX,1680275088
127,fare,-16.7,-151.0167,27.67,70,45,2.98,PF,1680275088
128,mahajanga,-15.7167,46.3167,32.01,66,20,3.09,MG,1680275088
129,castro,-24.7911,-50.0119,24.35,62,6,3.3,BR,1680274884
130,okhotsk,59.3833,143.3,-4.35,93,100,1.26,RU,1680275089
131,odienne,9.51,-7.5692,37.31,17,62,3.58,CI,1680274933
132,kirakira,-10.4544,161.9205,25.83,84,82,1.55,SB,1680275089
133,micheweni,-4.9667,39.8333,28.92,72,34,4.44,TZ,1680275089
134,narsaq,60.9167,-46.05,1.12,51,11,0.82,GL,1680275089
135,tessalit,20.1986,1.0114,34.45,4,0,7.25,ML,1680275089
136,avarua,-21.2078,-159.775,25.03,100,99,0.51,CK,1680275089
137,sorong,-0.8833,131.25,26.26,84,100,2.41,ID,1680275089
138,rajakhera,26.8961,78.1714,19.53,76,71,8.12,IN,1680275089
139,angoche,-16.2325,39.9086,26.08,77,94,4.93,MZ,1680275089
140,liliani,32.2065,72.9537,16.7,92,100,5.15,PK,1680275089
141,airai,-8.9266,125.4092,15.49,94,99,0.84,TL,1680275089
142,libertador general san martin,-23.8064,-64.7876,31.82,55,5,1.42,AR,1680275089
143,clyde river,70.4692,-68.5914,-17.87,78,100,6.69,CA,1680275090
144,cabo rojo,18.0866,-67.1457,31.51,54,0,1.79,PR,1680275090
145,tezpur,26.6333,92.8,24.47,53,99,1.95,IN,1680275001
146,georgetown,5.4112,100.3354,29.97,78,20,2.24,MY,1680274978
147,acarau,-2.8856,-40.12,28.39,73,31,4.1,BR,1680275090
148,shingu,33.7333,135.9833,10.54,89,100,1.3,JP,1680274807
149,port lincoln,-34.7333,135.8667,15.34,59,94,3.99,AU,1680274817
150,dire,12.2833,-10.9667,41.35,5,11,3.95,ML,1680275090
151,half moon bay,37.4636,-122.4286,9.9,89,100,2.57,US,1680275090
152,luanda,-8.8368,13.2343,31.0,58,40,7.72,AO,1680275090
153,leeuwarden,53.2014,5.8086,12.84,83,75,5.66,NL,1680275090
154,port hardy,50.6996,-127.4199,6.0,93,100,3.09,CA,1680274816
155,brescia,45.6333,10.3,9.81,51,96,0.59,IT,1680275091
156,bonavista,48.6499,-53.1147,-0.8,82,21,3.27,CA,1680275091
157,cidreira,-30.1811,-50.2056,27.42,61,0,1.38,BR,1680275091
158,tonj,7.2737,28.6822,38.11,7,73,2.68,SS,1680275091
159,dakoro,14.5106,6.765,36.02,5,99,4.84,NE,1680275091
160,anaconda,46.1285,-112.9423,-6.45,90,73,2.17,US,1680275091
161,lavrentiya,65.5833,-171.0,-20.45,95,4,1.65,RU,1680275091
162,alakurtti,66.9672,30.3491,-4.03,86,97,2.86,RU,1680275091
163,namibe,-15.1961,12.1522,25.08,76,100,4.62,AO,1680275091
164,alofi,-19.0595,-169.9187,24.94,94,36,1.54,NU,1680275091
165,madimba,-10.4,40.3333,27.62,89,75,5.14,TZ,1680275091
166,vostok,46.4856,135.8833,-4.91,88,5,1.49,RU,1680275091
167,qasigiannguit,68.8193,-51.1922,-13.86,76,1,1.3,GL,1680275092
168,maniitsoq,65.4167,-52.9,-7.23,44,6,0.73,GL,1680275092
169,the valley,18.217,-63.0578,27.92,65,20,7.2,AI,1680275019
